Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID
42,2,1,430889,430889,237824,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701794634211,3793701794641411,0
43,2,1,430889,430889,302592,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701794681131,3793701794689691,0
44,2,1,430889,430889,443648,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701794729571,3793701794741211,0
45,2,1,430889,430889,355328,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701794781051,3793701794790691,0
46,2,1,430889,430889,335104,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701794830972,3793701794840252,0
47,2,1,430889,430889,171264,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701794880452,3793701794886372,0
48,2,1,430889,430889,411136,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701794927652,3793701794938772,0
49,2,1,430889,430889,396032,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701794979012,3793701794989652,0
50,2,1,430889,430889,319232,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701795029212,3793701795038172,0
51,2,1,430889,430889,472064,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701795078052,3793701795090493,0
52,2,1,430889,430889,382976,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701795131573,3793701795141653,0
53,2,1,430889,430889,273920,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701795181333,3793701795189133,0
54,2,1,430889,430889,288256,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701795229173,3793701795237293,0
55,2,1,430889,430889,380928,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701795277933,3793701795288093,0
56,2,1,430889,430889,504832,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701795328893,3793701795341733,0
57,2,1,430889,430889,520448,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701795382654,3793701795395574,0
58,2,1,430889,430889,428032,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701795436774,3793701795447934,0
59,2,1,430889,430889,486400,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701795491814,3793701795504254,0
60,2,1,430889,430889,295424,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701795544854,3793701795553254,0
