Addr,Instruction,Hitcount,Cycles,C++ Reference
0x7f4ced428cdc,"v_cndmask_b32_e32 v85, 0, v85, vcc",32,128,
0x7f4ced428ce0,"v_cndmask_b32_e32 v86, 0, v86, vcc",32,128,
0x7f4ced428ce4,"v_cndmask_b32_e32 v84, 0, v84, vcc",32,128,
0x7f4ced428ce8,"v_cndmask_b32_e32 v79, 0, v79, vcc",32,128,
0x7f4ced428cec,"v_perm_b32 v83, v86, v83, s44",32,128,
0x7f4ced428cf4,"v_perm_b32 v82, v85, v82, s44",32,128,
0x7f4ced428cfc,"v_perm_b32 v81, v84, v81, s44",32,128,
0x7f4ced428d04,"v_perm_b32 v80, v79, v80, s44",32,128,
0x7f4ced428d0c,"scratch_store_dwordx4 off, v[80:83], off offset:16",32,128,
0x7f4ced428d14,"buffer_load_dwordx4 v[80:83], v67, s[40:43], 0 offen",32,128,
0x7f4ced428d1c,"v_or_b32_e32 v1, 64, v38",32,128,
0x7f4ced428d20,"v_add_lshl_u32 v67, v69, v1, 1",32,128,
0x7f4ced428d28,s_waitcnt vmcnt(0),32,13228,
0x7f4ced428d2c,"v_lshrrev_b32_e32 v79, 16, v80",32,128,
0x7f4ced428d30,"v_lshrrev_b32_e32 v84, 16, v81",32,128,
0x7f4ced428d34,"v_lshrrev_b32_e32 v85, 16, v82",32,128,
0x7f4ced428d38,"v_lshrrev_b32_e32 v86, 16, v83",32,128,
0x7f4ced428d3c,"v_cndmask_b32_e32 v83, 0, v83, vcc",32,128,
0x7f4ced428d40,"v_cndmask_b32_e32 v82, 0, v82, vcc",32,128,
0x7f4ced428d44,"v_cndmask_b32_e32 v81, 0, v81, vcc",32,128,
0x7f4ced428d48,"v_cndmask_b32_e32 v80, 0, v80, vcc",32,128,
0x7f4ced428d4c,"v_cndmask_b32_e32 v85, 0, v85, vcc",32,128,
0x7f4ced428d50,"v_cndmask_b32_e32 v86, 0, v86, vcc",32,128,
0x7f4ced428d54,"v_cndmask_b32_e32 v84, 0, v84, vcc",32,128,
0x7f4ced428d58,"v_cndmask_b32_e32 v79, 0, v79, vcc",32,128,
0x7f4ced428d5c,"v_perm_b32 v83, v86, v83, s44",32,128,
0x7f4ced428d64,"v_perm_b32 v82, v85, v82, s44",32,128,
0x7f4ced428d6c,"v_perm_b32 v81, v84, v81, s44",32,128,
0x7f4ced428d74,"v_perm_b32 v80, v79, v80, s44",32,128,
0x7f4ced428d7c,"scratch_store_dwordx4 off, v[80:83], off offset:32",32,128,
0x7f4ced428d84,"buffer_load_dwordx4 v[80:83], v67, s[40:43], 0 offen",32,128,
0x7f4ced428d8c,"v_add_u32_e32 v3, 0x60, v38",32,128,
0x7f4ced428d94,"v_add_lshl_u32 v67, v69, v3, 1",32,128,
0x7f4ced428d9c,s_waitcnt vmcnt(0),32,30032,
0x7f4ced428da0,"v_lshrrev_b32_e32 v79, 16, v80",32,128,
0x7f4ced428da4,"v_lshrrev_b32_e32 v84, 16, v81",32,128,
0x7f4ced428da8,"v_lshrrev_b32_e32 v85, 16, v82",32,128,
0x7f4ced428dac,"v_lshrrev_b32_e32 v86, 16, v83",32,128,
